日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260531,9142,九州旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9143,ＳＧホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9145,ビーイングホールディングス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20260531,9146,五健堂ホールディングス,PRO Market,5050,陸運業,12,運輸・物流,-,-
20260531,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20260531,9149,大友ロジスティクスサービス,PRO Market,5050,陸運業,12,運輸・物流,-,-
20260531,9156,はなホールディングス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9158,シーユーシー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9159,Ｗ　ＴＯＫＹＯ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9160,オンザページ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9162,ブリーチ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9163,ナレルグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9165,クオルテック,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9166,ＧＥＮＤＡ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9168,ライズ・コンサルティング・グループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9169,大伸社,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9171,栗林商船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20260531,9173,東海汽船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20260531,9193,東京汽船,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20260531,9201,日本航空,プライム（内国株式）,5150,空運業,12,運輸・物流,4,TOPIX Mid400
20260531,9202,ＡＮＡホールディングス,プライム（内国株式）,5150,空運業,12,運輸・物流,2,TOPIX Large70
20260531,92025,ＡＮＡホールディングス第１回社債型種類株式,プライム（内国株式）,5150,空運業,12,運輸・物流,-,-
20260531,9204,スカイマーク,グロース（内国株式）,5150,空運業,12,運輸・物流,-,-
